City,State,Population,ViolentCrime
Santa Fe Springs,CA,16936,75
Santa Maria,CA,102051,490
Santa Monica,CA,92488,324
Santa Paula,CA,30159,108
Santa Rosa,CA,171564,541
Santee,CA,55924,156
Saratoga,CA,30897,14
Sausalito,CA,7066,10
Scotts Valley,CA,11694,11
Seal Beach,CA,24798,16
Seaside,CA,34147,120
Sebastopol,CA,7570,23
Selma,CA,23935,191
Shafter,CA,17139,58
Sierra Madre,CA,11048,13
Signal Hill,CA,11240,32
Simi Valley,CA,126215,132
Solana Beach,CA,13239,27
Soledad,CA,26637,73
Solvang,CA,5373,7
Sonoma,CA,10912,38
Sonora,CA,4774,13
South El Monte,CA,20354,88
South Gate,CA,95591,496
South Lake Tahoe,CA,21243,116
South Pasadena,CA,25937,29
South San Francisco,CA,66157,118
Stallion Springs,CA,2562,9
Stanton,CA,39128,112
St. Helena,CA,5934,6
Stockton,CA,299796,3622
Suisun City,CA,28805,64
Sunnyvale,CA,148160,144
Susanville,CA,16270,83
Sutter Creek,CA,2445,4
Taft,CA,8839,60
Tehachapi,CA,13607,41
Temecula,CA,106680,91
Temple City,CA,36269,48
Thousand Oaks,CA,128884,139
Tiburon,CA,9133,2
Torrance,CA,147534,187
Tracy,CA,85174,152
Truckee,CA,16146,18
Tulare,CA,61424,430
Tulelake,CA,987,1
Turlock,CA,70075,310
Tustin,CA,78836,100
Twentynine Palms,CA,25914,74
Ukiah,CA,15874,116
Union City,CA,72480,218
Upland,CA,75640,163
Vacaville,CA,94347,201
Vallejo,CA,118336,1019
Ventura,CA,108204,262
Vernon,CA,115,22
Victorville,CA,121699,651
Villa Park,CA,5959,6
Visalia,CA,127824,500
Vista,CA,96712,445
Walnut,CA,30279,37
Walnut Creek,CA,66149,78
Waterford,CA,8590,29
Watsonville,CA,52076,237
Weed,CA,2927,26
West Covina,CA,107867,231
West Hollywood,CA,34902,216
Westlake Village,CA,8440,11
Westminster,CA,91885,283
Westmorland,CA,2279,2
West Sacramento,CA,49751,205
Wheatland,CA,3522,0
Whittier,CA,86450,223
Wildomar,CA,33453,40
Williams,CA,5176,5
Willits,CA,4832,30
Willows,CA,6122,17
Windsor,CA,27249,105
Winters,CA,6992,8
Woodlake,CA,7417,10
Woodland,CA,56523,272
Yorba Linda,CA,67492,30
Yountville,CA,2969,1
Yreka,CA,7639,49
Yuba City,CA,65133,174
Yucaipa,CA,52524,107
Yucca Valley,CA,21214,86
Arvada,CO,110792,163
Aspen,CO,6685,14
Ault,CO,1565,0
Aurora,CO,343484,1436
Avon,CO,6336,9
Basalt,CO,3818,2
Berthoud,CO,5316,3
Black Hawk,CO,119,6
Blue River,CO,854,1
Boulder,CO,102828,218
Bow Mar,CO,900,0
Breckenridge,CO,4568,22
Broomfield,CO,59424,33
Brush,CO,5529,6
Buena Vista,CO,2678,0
Burlington,CO,3939,11
Campo,CO,109,0
Canon City,CO,16474,80
Carbondale,CO,6522,11
Castle Rock,CO,52309,45
Cedaredge,CO,2192,0
Centennial,CO,104771,141
Center,CO,2281,10
Central City,CO,675,4
Cherry Hills Village,CO,6297,1
Colorado Springs,CO,436108,1893
Columbine Valley,CO,1315,0
Commerce City,CO,49200,156
Cortez,CO,8470,18
Craig,CO,8909,18
Crested Butte,CO,1510,0
Cripple Creek,CO,1179,9
Dacono,CO,4373,1
Del Norte,CO,1675,1
Delta,CO,8799,25
Denver,CO,648981,4087
Dillon,CO,906,2
Durango,CO,17303,47
Eagle,CO,6466,8
Eaton,CO,4575,6
Edgewater,CO,5241,2
Elizabeth,CO,1366,1
Empire,CO,279,2
Erie,CO,19627,11
Estes Park,CO,6064,5
Evans,CO,19893,69
Fairplay,CO,667,3
Federal Heights,CO,11894,55
Firestone,CO,11128,2
Florence,CO,3888,3
Fort Collins,CO,150066,357
Fort Lupton,CO,7649,3
Fort Morgan,CO,11487,33
Fountain,CO,27163,78
Frederick,CO,9639,6
Frisco,CO,2740,8
Fruita,CO,12723,20
Garden City,CO,243,19
Georgetown,CO,1019,2
Glendale,CO,4502,47
Glenwood Springs,CO,9715,26
Golden,CO,19334,33
Granby,CO,1733,5
Grand Junction,CO,60167,262
Greeley,CO,96111,491
Greenwood Village,CO,14614,19
Gunnison,CO,5884,17
Hayden,CO,1780,0
Hotchkiss,CO,917,2
Hudson,CO,2390,6
Idaho Springs,CO,1683,16
Ignacio,CO,709,0
Johnstown,CO,11437,4
Keenesburg,CO,1171,10
Kersey,CO,1500,6
Kiowa,CO,717,1
Lafayette,CO,26145,50
La Junta,CO,7023,16
Lakeside,CO,8,5
Lakewood,CO,146298,624
Lamar,CO,7801,15
La Salle,CO,2017,6
La Veta,CO,773,5
Leadville,CO,2596,13
Limon,CO,1864,7
Littleton,CO,44375,44
Lone Tree,CO,12056,5
Longmont,CO,89434,226
Louisville,CO,19291,18
Loveland,CO,71325,150
Mancos,CO,1343,1
Manitou Springs,CO,5220,14
Mead,CO,3886,7
Meeker,CO,2528,1
Milliken,CO,5839,5
Minturn,CO,1025,1
Monte Vista,CO,4423,16
Montrose,CO,18918,48
Monument,CO,5800,5
Morrison,CO,434,2
Mount Crested Butte,CO,799,1
New Castle,CO,4571,3
Northglenn,CO,37232,95
