,City,State,Location,Population,ViolentCrime,PoliceViolence,R
Seattle Police Department,Seattle,WA,"[47.6038321, -122.3300623]",642814,3758,5,-0.013436189100485052
Shreveport Police Department,Shreveport,LA,"[32.5221828, -93.7651943]",202189,1397,1,-0.041018770980996384
Simi Valley Police Department,Simi Valley,CA,"[34.2694474, -118.7814819]",126215,132,1,-0.079666531962711229
Sioux Falls Police Department,Sioux Falls,SD,"[43.5499749, -96.7003269]",161754,636,1,-0.026541504943687452
South Bend Police Department,South Bend,IN,"[41.6833813, -86.2500065]",100711,664,1,-0.066781672588683838
Spokane Police Department,Spokane,WA,"[47.6588603, -117.4247133]",209524,1440,3,-0.015005832089901141
Springfield Police Department,Springfield,IL,,163062,1894,2,"Springfield Police Department   -0.052423
Springfield Police Department   -0.071655
Springfield Police Department   -0.023938
dtype: float64"
Springfield Police Department,Springfield,MA,,163062,1894,2,"Springfield Police Department   -0.052423
Springfield Police Department   -0.071655
Springfield Police Department   -0.023938
dtype: float64"
Springfield Police Department,Springfield,MO,,163062,1894,2,"Springfield Police Department   -0.052423
Springfield Police Department   -0.071655
Springfield Police Department   -0.023938
dtype: float64"
St. Paul Police Department,St. Paul,MN,"[44.9504037, -93.1015025]",294690,2200,2,-0.064503775407225294
St. Petersburg Police Department,St. Petersburg,FL,"[27.7703796, -82.6695084]",247084,2379,8,-0.031143408837842605
Stamford Police Department,Stamford,CT,"[41.0534302, -73.538734]",125876,334,0,-0.12854158001046498
Sterling Heights Police Department,Sterling Heights,MI,"[42.5803122, -83.0302032]",130634,244,0,-0.079701484063983141
Stockton Police Department,Stockton,CA,"[37.9577016, -121.2907795]",299796,3622,1,-0.30030172379468723
Surprise Police Department,Surprise,AZ,"[33.6292271, -112.3680188]",122497,149,1,-0.028953119626681127
Syracuse Police Department,Syracuse,NY,"[43.0481221, -76.1474243]",143834,1192,0,-0.15339580937639721
Tacoma Police Department,Tacoma,WA,"[47.2495798, -122.4398745]",203226,1766,0,-0.14984036805798229
Tallahassee Police Department,Tallahassee,FL,"[30.4380832, -84.2809331]",188714,1398,0,-0.0652077106240323
Tampa Police Department,Tampa,FL,"[27.9477595, -82.4584439]",351314,2097,0,-0.045131643071607552
Tempe Police Department,Tempe,AZ,"[33.4144139, -111.9094473]",168501,831,1,-0.047473139915212632
Thornton Police Department,Thornton,CO,"[39.9174732, -104.905461007313]",125775,331,2,-0.06391796207508782
Topeka Police Department,Topeka,KS,"[39.0490111, -95.6775556]",128009,612,1,-0.037233622571266833
Torrance Police Department,Torrance,CA,"[33.8358492, -118.3406287]",147534,187,1,-0.080434650813821174
Tucson Police Department,Tucson,AZ,"[32.2217422, -110.9264758]",525486,3368,5,-0.040927759969170419
Tulsa Police Department,Tulsa,OK,"[36.1556805, -95.9929112]",394498,3827,1,-0.048544004417761633
Tyler Police Department,Tyler,TX,"[32.3512601, -95.3010623]",100033,376,0,-0.14356263612384867
Vancouver Police Department,Vancouver,WA,"[45.6306954, -122.6744556]",166535,593,0,-0.011688748224525149
Ventura Police Department,Ventura,CA,"[34.364744, -119.310582204204]",108204,262,0,-0.045591878183633305
Virginia Beach Police Department,Virginia Beach,VA,"[36.8529841, -75.9774182]",450687,730,1,-0.045105197003730835
Waco Police Department,Waco,TX,"[31.549333, -97.1466694]",127570,515,0,-0.1059270146954896
Warren Police Department,Warren,MI,"[42.4775364, -83.0277]",134167,679,1,-0.099134565119855522
Waterbury Police Department,Waterbury,CT,"[41.5581525, -73.0514965]",109763,410,0,-0.12494360097011815
West Covina Police Department,West Covina,CA,"[34.0686208, -117.9389525]",107867,231,0,-0.19295192601056921
West Palm Beach Police Department,West Palm Beach,FL,"[26.7153425, -80.0533745]",102510,701,1,-0.048724333850259871
West Valley Police Department,West Valley,UT,"[40.5720699, -111.916097]",133373,703,0,
Wichita Falls Police Department,Wichita Falls,TX,"[33.9137085, -98.4933872]",104514,401,0,-0.057552581372766427
Wichita Police Department,Wichita,KS,"[37.6922361, -97.3375447]",386486,3065,2,-0.035664976856453201
Wilmington Police Department,Wilmington,NC,"[34.2257282, -77.9447106]",110985,687,3,-0.028211948618379605
Winston-Salem Police Department,Winston-Salem,NC,"[36.0998131, -80.2440517]",235811,1426,0,-0.096199393082048834
Woodbridge Township Police Department,Woodbridge Township,NJ,"[40.5498525, -74.2874184506135]",100568,135,0,-0.15967112498487299
Yonkers Police Department,Yonkers,NY,"[40.9312099, -73.8987468]",199134,1036,0,-0.14955164690736411
